"英-T108.法国空军
　在你的空军阶段开始时使用。配备法国空军。",
"意-T39.爱尔兰中立
　英国需弃置其摸牌堆上的2张牌。",
"意-T40.派克行动
　若在距离<乌克兰>2个区域内有英国陆军，则苏联需弃置其牌堆上的2张牌。你获得1分。",
"意-T41.乔里亚尼号,卡佩里尼海军司令号,卢吉.托雷利号潜艇
　德国，意大利，日本，分别从自己的弃牌堆随机地将1张卡牌返回摸牌堆顶。你获得1分。"
"意-T42.大力神行动
　在<地中海>征召意大利海军和德国海军。",
"意-T44.西班牙
　在<西欧>或<非洲北部>建设1支陆军。在<地中海>或<北海>建设1支海军。",
"意-T43.礼萨汗支援轴心国
　移除1个在<中东>的同盟国陆军。"
"意-T45.瓦夫德党的暴动
　移除1个在<非洲北部>的同盟国陆军。",
"意-T47.意大利山地特种部队
　当你在【意大利】或与【意大利】相邻的陆军被发动陆战时使用。此战斗中该陆军不会被移除。",
"意-T48.不可思议行动
　在苏联建设陆军后使用。若英国或美国有陆军和该苏联陆军相邻，则移除该苏联陆军。"
"意-T49.未回收的意大利
　在你的计分阶段使用。若你有陆军在<西欧>，你获得1分。",
"意-T50.西班牙控制直布罗陀海峡
　对于同盟国，<北海>和<地中海>不相邻。对于轴心国则相邻。",
"意-T51.土耳其开放海峡
　对于轴心国，<中东>与<巴尔干>相邻，<黑海>与<地中海>相邻。"
"德-T27.齐格菲防线
　当轴心国的陆军在德国被发动战斗时使用。发动战斗的国家需弃置其摸牌堆上的3张牌。",
"德-T26.陆上巡洋舰P1000
　当德国陆军被发动战斗时使用。发动战斗的国家需弃置其摸牌堆上的2张牌。",
"德-T24.土耳其加入轴心国
　在<黑海>建设海军，在<中东>征召陆军。"
"德-T23.瑞典支援芬兰
　若在<鲁塞尼亚>有德国或苏联的陆军，你在<波罗的海>建设海军，在<斯堪的纳维亚>征召陆军。",
"德-T22.战略计划的立案
　从你的摸牌堆任意选取1至2张牌至你的手牌，弃置1张手牌。重洗你的摸牌堆。",
"德-T21.海狮计划
　在<北海>建设海军，对英国发动1次战斗。"
"德-T20.生产构思
　从你的摸牌堆任意选取1张状态卡打出。重洗你的摸牌堆。",
"德-T19.白色方案
　弃置你摸牌堆顶的1张牌，在<东欧>征召陆军。打出1张手牌。",
"德-T18.阿登战役
　在<西欧>发动战斗，在<西欧>建设陆军。"
"德-T17.电动U型潜艇
　你选择的1个同盟国需弃置其摸牌堆顶的1张牌。你获得2分。",
"德-T16.攻陷阿尔汉格尔斯克
　若在<斯堪的纳维亚>和<鲁塞尼亚>都有轴心国的陆军，则苏联需弃置其摸牌堆顶的5张牌。你获得1分。",
"德-T15.轰炸伦敦
　当你使用经济卡时使用。每有1个距离<不列颠群岛>2区域内的德国空军，英国需弃置其摸牌堆顶的2张牌。"
"德-T14.战术革新
　在你的出牌阶段开始时使用。弃置1张你已打出的状态卡，从手牌中打出1张状态卡。",
"德-T13.威瑟堡演习行动
　在你的计分阶段开始时使用。弃置你摸牌堆顶的1张牌，在<斯堪的纳维亚>征召陆军。",
"德-T12.Ju-87斯图卡俯冲式轰炸机
　当你配置或动员空军时使用。弃置你摸牌堆顶的1张牌，在该空军相邻的1个陆地地区发动战斗。"
"德-T11.Ju-52空中补给
　在你的出牌阶段开始时使用。若你在版图上有空军，则本回合中德国所有的部队都处于补给状态。",
"德-T10.G7鱼雷
　当你使用带有【潜艇】字样的经济卡时使用。弃置你摸牌堆顶的1张牌，发动1次海战。",
"德-T9.空降兵
　在你的出牌阶段开始时使用。弃置你摸牌堆顶的1张牌，在与你空军相邻的1个陆地地区发动战斗。"
"德-T8.云量
　在你的出牌阶段开始时使用。本回合中不能使用空军来进行防御。","德-T7.海军上将斯佩伯爵号
　当你建设海军时使用。弃置你摸牌堆顶的1张牌，在<北海>或<北大西洋>或<中大西洋>发动海战。",
"德-T6.12.8cm Flak 40双联高射炮
　当同盟国获得制空权将意大利空军移除时使用。移除为获得制空权而使用的空军。"
